log_id@section@refid@from_name@to_name@godate@ip@lang_id@fxcode@device@agent@referer@landing@message@agent_id@stamp@date
40289956@unique@\N@@@2017-09-20 20:31:26@213.231.64.62@en@THB@Desktop@Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36@https://mochilerosentailandia.com/2014/10/como-ir-de-bangkok-a-koh-tao-o-koh-phangan/@https://12go.asia/en/travel/bangkok/koh-tao?z=14704@\N@14704@2017-09-20 20:31:26@2017-09-20
40289954@query@\N@Phuket Airport@Bangkok@2018-01-10 00:00:00@217.92.60.23@en@EUR@Desktop@Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36@@https://12go.asia/de/travel/bangkok/suratthani?date=2017-12-28@@0@2017-09-20 20:31:24@2017-09-20
40289953@unique@\N@@@2017-09-20 20:31:23@49.228.155.190@en@THB@Phone@Mozilla/5.0 (Linux; Android 7.1.1; GM 5 Plus d Build/NNI60) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.116 Mobile Safari/537.36@https://www.google.co.th/@https://12go.asia/en/travel/bangkok/kanchanaburi?z=4&gclid=CjwKCAjwo4jOBRBmEiwABWNaMT3owzJR1olA1GCQpumD7aHsdggwVJoqwkd2aGXGBtqf1LMT7SI_-RoCfFIQAvD_BwE@\N@4@2017-09-20 20:31:23@2017-09-20
40289950@query-autoconn@\N@Chiang Mai@Chumphon@2017-11-29 00:00:00@212.203.124.18@frt@HB@Desktop@Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36@https://www.thailandee.com/transports/train/trains-de-chiang%20mai-a-chumphon@https://12go.asia/fr/travel/chiang-mai/chumphon?date=2017-11-29&z=1332@@1332@2017-09-20 20:31:18@2017-09-20
40289948@not-found@\N@Ho Chi Minh@Ho Chi Minh@2018-02-28 00:00:00@58.165.244.120@en@THB@Tablet@Mozilla/5.0 (iPad; CPU OS 10_3_3 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) GSA/35.0.167640935 Mobile/14G60 Safari/602.1@http://www.vietnamtraintickets.info/sai-gon-to-ha-noi-train-timetable/@https://12go.asia/en/travel/ho-chi-minh/ho-chi-minh?date=Sun+Sep+24+2017&z=6795@\N@6795@2017-09-20 20:31:13@2017-09-20
40289947@unique@\N@@@2017-09-20 20:31:12@58.165.244.120@en@THB@Tablet@Mozilla/5.0 (iPad; CPU OS 10_3_3 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) GSA/35.0.167640935 Mobile/14G60 Safari/602.1@http://www.vietnamtraintickets.info/sai-gon-to-ha-noi-train-timetable/@https://12go.asia/en/travel/ho-chi-minh/ho-chi-minh?date=Sun+Sep+24+2017&z=6795@\N@6795@2017-09-20 20:31:12@2017-09-20
40289945@query@\N@Bangkok@Paani@2017-09-28 00:00:00@182.232.212.77@en@THB@Phone@Mozilla/5.0 (Linux; Android 4.4.2; GT-N7100 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.107 Mobile Safari/537.36@https://www.google.co.th/@https://12go.asia/th/travel/bangkok/hat-yai@@0@2017-09-20 20:31:11@2017-09-20
40289944@unique@\N@@@2017-09-20 20:31:11@212.203.124.18@frt@HB@Desktop@Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36@https://www.thailandee.com/transports/train/trains-de-chiang%20mai-a-chumphon@https://12go.asia/fr/travel/chiang-mai/chumphon?date=2017-11-29&z=1332@\N@1332@2017-09-20 20:31:11@2017-09-20
40289942@unique@\N@@@2017-09-20 20:31:10@185.125.218.76@en@THB@Desktop@@@https://12go.asia/ru/timetable/TH/Phuket/koh-samui?embedded&css=yes&z=52730&currency=THB@\N@52730@2017-09-20 20:31:10@2017-09-20
40289939@trip-form@13618@Hua Lamphong@Chiang Mai@2017-09-27 18:10:00@24.133.211.204@en@THB@Desktop@Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36@https://www.google.com.tr/@https://12go.asia/en/travel/bangkok/chiang-mai?z=4&gclid=CjwKCAjwo4jOBRBmEiwABWNaMfZDaiZE6Wjfxdl2IYqaRiJ0qYobHSO9vQFBuoqGO_BKaARJXQhO0RoCYowQAvD_BwE@Opened booking form@4@2017-09-20 20:31:09@2017-09-20
